"filename", "language", "TypeScript", "Vue", "SCSS", "XML", "JSON", "comment", "blank", "total"
"e:\backWorkProject\backWork\src\views\employee\index.vue", "Vue", 0, 217, 0, 0, 0, 2, 13, 232
"e:\backWorkProject\backWork\src\views\home\index.vue", "Vue", 0, 57, 0, 0, 0, 0, 7, 64
"e:\backWorkProject\backWork\src\views\login\index.vue", "Vue", 0, 162, 0, 0, 0, 0, 11, 173
"e:\backWorkProject\backWork\src\views\operation\index.vue", "Vue", 0, 264, 0, 0, 0, 0, 7, 271
"e:\backWorkProject\backWork\src\views\orders\index.vue", "Vue", 0, 1141, 0, 0, 0, 8, 47, 1196
"e:\backWorkProject\backWork\src\views\product\FCategory\index.vue", "Vue", 0, 355, 0, 0, 0, 4, 19, 378
"e:\backWorkProject\backWork\src\views\product\SCategory\index.vue", "Vue", 0, 367, 0, 0, 0, 4, 18, 389
"e:\backWorkProject\backWork\src\views\product\attr\attrCategory.vue", "Vue", 0, 113, 0, 0, 0, 0, 11, 124
"e:\backWorkProject\backWork\src\views\product\attr\index.vue", "Vue", 0, 384, 0, 0, 0, 73, 18, 475
"e:\backWorkProject\backWork\src\views\product\sku\index.vue", "Vue", 0, 340, 0, 0, 0, 0, 18, 358
"e:\backWorkProject\backWork\src\views\product\sku\skuCategory.vue", "Vue", 0, 113, 0, 0, 0, 0, 11, 124
"e:\backWorkProject\backWork\src\views\product\sku\skuForm.vue", "Vue", 0, 218, 0, 0, 0, 0, 20, 238
"e:\backWorkProject\backWork\src\views\product\spu\index.vue", "Vue", 0, 359, 0, 0, 0, 0, 27, 386
"e:\backWorkProject\backWork\src\views\product\spu\skuForm.vue", "Vue", 0, 235, 0, 0, 0, 0, 15, 250
"e:\backWorkProject\backWork\src\views\product\spu\spuCategory.vue", "Vue", 0, 88, 0, 0, 0, 0, 10, 98
"e:\backWorkProject\backWork\src\views\product\spu\spuForm.vue", "Vue", 0, 328, 0, 0, 0, 88, 27, 443
"e:\backWorkProject\backWork\src\views\product\trademark\index.vue", "Vue", 0, 362, 0, 0, 0, 4, 25, 391
"e:\backWorkProject\backWork\src\views\screen\components\age\index.vue", "Vue", 0, 94, 0, 0, 0, 0, 4, 98
"e:\backWorkProject\backWork\src\views\screen\components\counter\index.vue", "Vue", 0, 116, 0, 0, 0, 0, 10, 126
"e:\backWorkProject\backWork\src\views\screen\components\line\index.vue", "Vue", 0, 96, 0, 0, 0, 0, 5, 101
"e:\backWorkProject\backWork\src\views\screen\components\map\china.json", "JSON", 0, 0, 0, 0, 27324, 0, 1, 27325
"e:\backWorkProject\backWork\src\views\screen\components\map\index.vue", "Vue", 0, 88, 0, 0, 0, 0, 5, 93
"e:\backWorkProject\backWork\src\views\screen\components\rank\index.vue", "Vue", 0, 118, 0, 0, 0, 0, 4, 122
"e:\backWorkProject\backWork\src\views\screen\components\sex\index.vue", "Vue", 0, 124, 0, 0, 0, 0, 5, 129
"e:\backWorkProject\backWork\src\views\screen\components\top\index.vue", "Vue", 0, 93, 0, 0, 0, 0, 10, 103
"e:\backWorkProject\backWork\src\views\screen\components\tourist\index.vue", "Vue", 0, 106, 0, 0, 0, 0, 8, 114
"e:\backWorkProject\backWork\src\views\screen\components\year\index.vue", "Vue", 0, 73, 0, 0, 0, 0, 6, 79
"e:\backWorkProject\backWork\src\views\screen\index.vue", "Vue", 0, 120, 0, 0, 0, 1, 12, 133
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\moneyStatistic.vue", "Vue", 0, 67, 0, 0, 0, 0, 9, 76
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\orderStatistic.vue", "Vue", 0, 74, 0, 0, 0, 0, 6, 80
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\skuTop10.vue", "Vue", 0, 68, 0, 0, 0, 0, 3, 71
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\spuTop10.vue", "Vue", 0, 68, 0, 0, 0, 0, 4, 72
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\top10.vue", "Vue", 0, 68, 0, 0, 0, 0, 2, 70
"e:\backWorkProject\backWork\src\views\statistic\totaldata\component\userStatistic.vue", "Vue", 0, 67, 0, 0, 0, 0, 6, 73
"e:\backWorkProject\backWork\src\views\statistic\totaldata\index.vue", "Vue", 0, 256, 0, 0, 0, 0, 25, 281
"e:\backWorkProject\backWork\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 2190, 8899, 181, 185, 27324, 1048, 816, 40643
